TestDescription,Unit,Value,Component
509050_CAL CH1 Current Meas If Low, mA,.1773,D705
509070_CAL CH1 Current k1, Gain,36783,D705
509080_CAL CH1 Current d1, Gain,-6421,D705
509100_CAL CH1 Voltage High FB, V,0,D705
509110_CAL CH1 Voltage Meas Vf High, V,.0870,D705
509130_CAL CH1 Voltage Low FB, V,0,D705
509140_CAL CH1 Voltage Meas Vf Low, V,.0874,D705
509030_CAL CH1 Current Meas If High, mA,.3964,D705
509050_CAL CH1 Current Meas If Low, mA,.4242,D705
509070_CAL CH1 Current k1, Gain,-1435,D705
509080_CAL CH1 Current d1, Gain,6191.,D705
509100_CAL CH1 Voltage High FB, V,0,D705
509110_CAL CH1 Voltage Meas Vf High, V,.3038,D705
509130_CAL CH1 Voltage Low FB, V,0,D705
509140_CAL CH1 Voltage Meas Vf Low, V,.3047,D705
509030_CAL CH1 Current Meas If High, mA,.3130,D705
509050_CAL CH1 Current Meas If Low, mA,.3217,D705
509070_CAL CH1 Current k1, Gain,-4629,D705
509080_CAL CH1 Current d1, Gain,14993,D705
509100_CAL CH1 Voltage High FB, V,0,D705
509110_CAL CH1 Voltage Meas Vf High, V,.3001,D705
509130_CAL CH1 Voltage Low FB, V,0,D705
509140_CAL CH1 Voltage Meas Vf Low, V,.3013,D705
509010 BST CHK Phase 1, Dec,255,R216
509030 BST CHK Phase 2, Dec,0,R216
509050 BST CHK Phase 3, Dec,0,R216
530030 CAL CH1 Voltage High FB, V,0,R216
530040 CAL CH1 Voltage Meas Vf High, V,.0001,R216
530050 CAL CH2 Voltage High FB, V,0,R216
530060 CAL CH2 Voltage Meas Vf High, V,.0013,R216
530070 CAL CH3 Voltage High FB, V,0,R216
530080 CAL CH3 Voltage Meas Vf High, V,.0003,R216
530120 CAL CH1 Voltage Low FB, V,0,R216
530130 CAL CH1 Voltage Meas Vf Low, V,.0001,R216
530140 CAL CH2 Voltage Low FB, V,0,R216
530150 CAL CH2 Voltage Meas Vf Low, V,.0013,R216
530160 CAL CH3 Voltage Low FB, V,0,R216
530170 CAL CH3 Voltage Meas Vf Low, V,.0003,R216
509010 BST CHK Phase 1, Dec,255,R216
509030 BST CHK Phase 2, Dec,0,R216
509050 BST CHK Phase 3, Dec,0,R216
530030 CAL CH1 Voltage High FB, V,0,R216
530040 CAL CH1 Voltage Meas Vf High, V,.0014,R216
530050 CAL CH2 Voltage High FB, V,0,R216
530060 CAL CH2 Voltage Meas Vf High, V,.0003,R216
530070 CAL CH3 Voltage High FB, V,0,R216
530080 CAL CH3 Voltage Meas Vf High, V,.0009,R216
530120 CAL CH1 Voltage Low FB, V,0,R216
530130 CAL CH1 Voltage Meas Vf Low, V,.0014,R216
530140 CAL CH2 Voltage Low FB, V,0,R216
530150 CAL CH2 Voltage Meas Vf Low, V,.0003,R216
530160 CAL CH3 Voltage Low FB, V,0,R216
530170 CAL CH3 Voltage Meas Vf Low, V,.0009,R216
509010 BST CHK Phase 1, Dec,255,R216
509030 BST CHK Phase 2, Dec,0,R216
509050 BST CHK Phase 3, Dec,0,R216
530030 CAL CH1 Voltage High FB, V,0,R216
530040 CAL CH1 Voltage Meas Vf High, V,.0014,R216
530050 CAL CH2 Voltage High FB, V,0,R216
530060 CAL CH2 Voltage Meas Vf High, V,.0003,R216
530070 CAL CH3 Voltage High FB, V,0,R216
530080 CAL CH3 Voltage Meas Vf High, V,.0008,R216
530120 CAL CH1 Voltage Low FB, V,0,R216
530130 CAL CH1 Voltage Meas Vf Low, V,.0014,R216
530140 CAL CH2 Voltage Low FB, V,0,R216
530150 CAL CH2 Voltage Meas Vf Low, V,.0003,R216
530160 CAL CH3 Voltage Low FB, V,0,R216
530170 CAL CH3 Voltage Meas Vf Low, V,.0008,R216
503080_PS P0 DTRL Feedback, Dec,1023,R413
503080_PS P0 DTRL Feedback, Dec,1023,R413
503080_PS P0 DTRL Feedback, Dec,1023,R413
516030_CAL CH8 Current Meas If High, mA,.0693,IC900
516050_CAL CH8 Current Meas If Low, mA,.0708,IC900
516070_CAL CH8 Current k8, Gain,-4666,IC900
516080_CAL CH8 Current d8, Dec,33150,IC900
516100_CAL CH8 Voltage High FB, V,1.058,IC900
516110_CAL CH8 Voltage Meas Vf High, V,.3069,IC900
516130_CAL CH8 Voltage Low FB, V,1.058,IC900
516140_CAL CH8 Voltage Meas Vf Low, V,.3070,IC900
516030_CAL CH8 Current Meas If High, mA,.1466,IC900
516050_CAL CH8 Current Meas If Low, mA,.1395,IC900
516070_CAL CH8 Current k8, Gain,99312,IC900
516080_CAL CH8 Current d8, Dec,-1375,IC900
516100_CAL CH8 Voltage High FB, V,1.058,IC900
516110_CAL CH8 Voltage Meas Vf High, V,.3013,IC900
516130_CAL CH8 Voltage Low FB, V,1.058,IC900
516140_CAL CH8 Voltage Meas Vf Low, V,.3012,IC900
516030_CAL CH8 Current Meas If High, mA,.1553,IC900
516050_CAL CH8 Current Meas If Low, mA,.1574,IC900
516070_CAL CH8 Current k8, Gain,-3352,IC900
516080_CAL CH8 Current d8, Dec,52889,IC900
516100_CAL CH8 Voltage High FB, V,1.058,IC900
516110_CAL CH8 Voltage Meas Vf High, V,.3166,IC900
516130_CAL CH8 Voltage Low FB, V,1.058,IC900
516140_CAL CH8 Voltage Meas Vf Low, V,.3165,IC900
509010_BST CHK Phase 1, Dec,37,T400
509010_BST CHK Phase 1, Dec,37,T400
509010_BST CHK Phase 1, Dec,37,T400
511680_Keypad_Switch_A_Ckt Active, hex,8,R2203
Pass or Fail for the unit from Viscom,  ,1,R2203
A2C01145500,  ,10,R2203
A2C01145500,  ,10,R2203
511680_Keypad_Switch_A_Ckt Active, hex,8,R2203
520110_Convert Voltage K1, Hex,-3889,D1000
520120_Convert Voltage K2, Hex,-1573,D1000
520130_Convert Voltage K3, Hex,7082,D1000
520150_Convert Voltage d1, Hex,10082,D1000
520160_Convert Voltage d2, Hex,23277,D1000
520190_Write Voltage Calibration, Hex,21474,D1000
521050_Check Voltage Calibration, Bol,999,D1000
521140_Verify CH1 Meas Current, mA,2.573,D1000
521150_Verify CH1 Meas Voltage, V,.2098,D1000
521170_Verify CH1 Check V_FB, V,8.710,D1000
521270_Verify CH2 Check V_FB, V,11.63,D1000
521370_Verify CH3 Check V_FB, V,11.63,D1000
521470_Verify CH4 Check V_FB, V,11.63,D1000
530030_CAL CH1 Voltage High FB, V,0,D1000
530040_CAL CH1 Voltage Meas Vf High, V,6.805,D1000
530050_CAL CH2 Voltage High FB, V,0,D1000
530080_CAL CH3 Voltage Meas Vf High, V,15.31,D1000
530140_CAL CH2 Voltage Low FB, V,.9530,D1000
530210_CAL CH1 Voltage k1, Calc,-.388,D1000
530220_CAL CH1 Voltage d1, Calc,6.805,D1000
530230_CAL CH2 Voltage k2, Calc,-15.7,D1000
530240_CAL CH2 Voltage d2, Calc,20.00,D1000
530030_CAL CH1 Voltage High FB, V,0,D1000
530040_CAL CH1 Voltage Meas Vf High, V,6.812,D1000
530050_CAL CH2 Voltage High FB, V,0,D1000
530080_CAL CH3 Voltage Meas Vf High, V,15.35,D1000
530140_CAL CH2 Voltage Low FB, V,0,D1000
530210_CAL CH1 Voltage k1, Calc,-.496,D1000
530220_CAL CH1 Voltage d1, Calc,6.812,D1000
530030_CAL CH1 Voltage High FB, V,0,D1000
530040_CAL CH1 Voltage Meas Vf High, V,6.807,D1000
530050_CAL CH2 Voltage High FB, V,0,D1000
530080_CAL CH3 Voltage Meas Vf High, V,15.35,D1000
530120_CAL CH1 Voltage Low FB, V,0,D1000
530140_CAL CH2 Voltage Low FB, V,0,D1000
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
502060_PCHK X400_5 POS, mA,39.75,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
503030_ID Read SN, Dec,21474,Z300
502060_PCHK X400_5 POS, mA,44.09,Z300
509010 BST CHK Phase 1, Dec,0,R210
509030 BST CHK Phase 2, Dec,0,R210
509050 BST CHK Phase 3, Dec,0,R210
530030 CAL CH1 Voltage High FB, V,0,R210
530040 CAL CH1 Voltage Meas Vf High, V,.0521,R210
530050 CAL CH2 Voltage High FB, V,0,R210
530060 CAL CH2 Voltage Meas Vf High, V,.0535,R210
530070 CAL CH3 Voltage High FB, V,0,R210
530080 CAL CH3 Voltage Meas Vf High, V,.0529,R210
530120 CAL CH1 Voltage Low FB, V,0,R210
530130 CAL CH1 Voltage Meas Vf Low, V,.0522,R210
530140 CAL CH2 Voltage Low FB, V,0,R210
530150 CAL CH2 Voltage Meas Vf Low, V,.0535,R210
530160 CAL CH3 Voltage Low FB, V,0,R210
530170 CAL CH3 Voltage Meas Vf Low, V,.0530,R210
509010 BST CHK Phase 1, Dec,0,R210
509030 BST CHK Phase 2, Dec,0,R210
509050 BST CHK Phase 3, Dec,0,R210
530030 CAL CH1 Voltage High FB, V,0,R210
530040 CAL CH1 Voltage Meas Vf High, V,.0518,R210
530050 CAL CH2 Voltage High FB, V,0,R210
530060 CAL CH2 Voltage Meas Vf High, V,.0531,R210
530070 CAL CH3 Voltage High FB, V,0,R210
530080 CAL CH3 Voltage Meas Vf High, V,.0527,R210
530120 CAL CH1 Voltage Low FB, V,0,R210
530130 CAL CH1 Voltage Meas Vf Low, V,.0520,R210
530140 CAL CH2 Voltage Low FB, V,0,R210
530150 CAL CH2 Voltage Meas Vf Low, V,.0532,R210
530160 CAL CH3 Voltage Low FB, V,0,R210
530170 CAL CH3 Voltage Meas Vf Low, V,.0527,R210
509010 BST CHK Phase 1, Dec,0,R210
509030 BST CHK Phase 2, Dec,0,R210
509050 BST CHK Phase 3, Dec,0,R210
530030 CAL CH1 Voltage High FB, V,0,R210
530040 CAL CH1 Voltage Meas Vf High, V,.0554,R210
530050 CAL CH2 Voltage High FB, V,0,R210
530060 CAL CH2 Voltage Meas Vf High, V,.0566,R210
530070 CAL CH3 Voltage High FB, V,0,R210
530080 CAL CH3 Voltage Meas Vf High, V,.0563,R210
530120 CAL CH1 Voltage Low FB, V,0,R210
530130 CAL CH1 Voltage Meas Vf Low, V,.0555,R210
530140 CAL CH2 Voltage Low FB, V,0,R210
530150 CAL CH2 Voltage Meas Vf Low, V,.0567,R210
530160 CAL CH3 Voltage Low FB, V,0,R210
530170 CAL CH3 Voltage Meas Vf Low, V,.0562,R210
506150_[A-01][C-02] LSD P0 LB Voltage Active, V,99900,T1006
506160_[C-02] LSD P0 LB Check Current, A,.0022,T1006
506150_[A-01][C-02] LSD P0 LB Voltage Active, V,99900,T1006
506160_[C-02] LSD P0 LB Check Current, A,.0023,T1006
506150_[A-01][C-02] LSD P0 LB Voltage Active, V,99900,T1006
506160_[C-02] LSD P0 LB Check Current, A,.0021,T1006
50120 IDENT Read Serial Number,Hex,0,L101
50120 IDENT Read Serial Number,Hex,0,L101
50120 IDENT Read Serial Number,Hex,0,L101
509010_BST CHK Phase 1, Dec,37,T400
509010_BST CHK Phase 1, Dec,36,T400
509010_BST CHK Phase 1, Dec,37,T400
53540 DTRL1 Patt2 Voltage, V,5.266,T1402
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,.0040,T2201
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,0,T2201
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,.0026,T2201
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,0,T2201
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,.0035,T2201
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,0,T2201
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,.0049,T2201
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,0,T2201
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,.0044,T2201
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,0,T2201
505112_OC Meas Voltage FRONT FOG CONTROL, V,.0079,R2404
505146_OC Read ADC FRONT FOG CONTROL, Dec,0,R2404
505230_OC PWM FRONT FOG CONTROL Meas Freq, Hz,0,R2404
505240_OC PWM FRONT FOG CONTROL Meas Duty Cycle, %,0,R2404
505250_OC PWM FRONT FOG CONTROL Meas Vrms, V,.0528,R2404
505112_OC Meas Voltage FRONT FOG CONTROL, V,.0077,R2404
505146_OC Read ADC FRONT FOG CONTROL, Dec,0,R2404
505230_OC PWM FRONT FOG CONTROL Meas Freq, Hz,0,R2404
505240_OC PWM FRONT FOG CONTROL Meas Duty Cycle, %,0,R2404
505250_OC PWM FRONT FOG CONTROL Meas Vrms, V,.1322,R2404
505112_OC Meas Voltage FRONT FOG CONTROL, V,.0041,R2404
505146_OC Read ADC FRONT FOG CONTROL, Dec,0,R2404
505230_OC PWM FRONT FOG CONTROL Meas Freq, Hz,0,R2404
505240_OC PWM FRONT FOG CONTROL Meas Duty Cycle, %,0,R2404
505250_OC PWM FRONT FOG CONTROL Meas Vrms, V,.1050,R2404
Cabezal de dispensado,  ,0,D2200
Presion Material A,  ,0,D2200
Presion Material B,  ,0,D2200
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,.0062,D2200
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,0,D2200
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,.0039,D2200
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,0,D2200
506170_[A-01][C-03] LSD P0 HB Voltage Inactive, V,12.66,D2200
506200_[A-01][C-02] LSD P1 LB Voltage Inactive, V,12.66,D2200
51010 Pattern 2 ADC AI_OCS_OUT_FD , Dec,0,D201
51010 Pattern 2 ADC AI_OCS_OUT_FD , Dec,0,D201
51010 Pattern 2 ADC AI_OCS_OUT_FD , Dec,0,D201
51010 Pattern 2 ADC AI_OCS_OUT_FD , Dec,0,D201
51010 Pattern 2 ADC AI_OCS_OUT_FD , Dec,0,D201
51010 Pattern 2 ADC AI_OCS_OUT_FD , Dec,0,D201
51200 Pattern 5 RCM_OUT Voltage Lo, V,12.45,IC100
51200 Pattern 5 RCM_OUT Voltage Lo, V,12.51,IC100
51200 Pattern 5 RCM_OUT Voltage Lo, V,12.61,IC100
51200 Pattern 5 RCM_OUT Voltage Lo, V,12.87,IC100
51200 Pattern 5 RCM_OUT Voltage Lo, V,12.86,IC100
51200 Pattern 5 RCM_OUT Voltage Lo, V,12.87,IC100
51200 Pattern 5 RCM_OUT Voltage Lo, V,12.87,IC100
51080 Pattern 3 ADC AI_RCM_OUT_FD , Dec,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD , Dec,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD , Dec,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD , Dec,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD , Dec,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD , Dec,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD , Dec,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD , Dec,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD , Dec,0,R209
505010_FOG Measure I_Low, mA,5.697,T603
505010_FOG Measure I_Low, mA,8.967,T603
505010_FOG Measure I_Low, mA,7.138,T603
503020_LIN Voltage, V,.0014,D401
503020_LIN Voltage, V,.0013,D401
503020_LIN Voltage, V,.0014,D401
503020_LIN Voltage, V,.0014,D401
503020_LIN Voltage, V,.0013,D401
503020_LIN Voltage, V,.0012,D401
503020_LIN Voltage, V,.0012,D401
503020_LIN Voltage, V,.0012,D401
503020_LIN Voltage, V,.0020,D401
503020_LIN Voltage, V,.0015,D401
503020_LIN Voltage, V,.0015,D401
503020_LIN Voltage, V,.0017,D401
503020_LIN Voltage, V,.0017,D401
503020_LIN Voltage, V,.0017,D401
503020_LIN Voltage, V,.0015,D401
503020_LIN Voltage, V,.0016,D401
503020_LIN Voltage, V,.0014,D401
503020_LIN Voltage, V,.0017,D401
503020_LIN Voltage, V,.0016,D401
503020_LIN Voltage, V,.0016,D401
503020_LIN Voltage, V,.0019,D401
503020_LIN Voltage, V,.0017,D401
503020_LIN Voltage, V,.0016,D401
503020_LIN Voltage, V,.0016,D401
504100_AI_P0 PCB Temperature, Dec,-143,R408
504100_AI_P0 PCB Temperature, Dec,-143,R408
505010_FOG Measure I_Low, mA,2.630,R615
505010_FOG Measure I_Low, mA,2.788,R615
505010_FOG Measure I_Low, mA,2.830,R615
505010_FOG Measure I_Low, mA,2.739,R615
505010_FOG Measure I_Low, mA,5.870,R615
505010_FOG Measure I_Low, mA,5.850,R615
505010_FOG Measure I_Low, mA,5.904,R615
501010_PCHK Grounds, Ohm,9.999,R615
505010_FOG Measure I_Low, mA,9.055,R615
505010_FOG Measure I_Low, mA,8.888,R615
505010_FOG Measure I_Low, mA,7.254,R615
503020_LIN Voltage, V,.0018,D401
503020_LIN Voltage, V,.0017,D401
503020_LIN Voltage, V,.0017,D401
503020_LIN Voltage, V,.0021,D401
503020_LIN Voltage, V,.0153,D401
503020_LIN Voltage, V,.0015,D401
503020_LIN Voltage, V,.0015,D401
503020_LIN Voltage, V,.0016,D401
501010_PCHK Grounds, Ohm,9.999,D401
503020_LIN Voltage, V,.0014,D401
501010_PCHK Grounds, Ohm,9.999,D401
503020_LIN Voltage, V,.0011,D401
503020_LIN Voltage, V,.0033,D401
503020_LIN Voltage, V,.0017,D401
503020_LIN Voltage, V,.0017,D401
503020_LIN Voltage, V,.0018,D401
503020_LIN Voltage, V,.0018,D401
503020_LIN Voltage, V,.0018,D401
503020_LIN Voltage, V,.0017,D401
503020_LIN Voltage, V,.0018,D401
503020_LIN Voltage, V,.0018,D401
503020_LIN Voltage, V,.0018,D401
503020_LIN Voltage, V,.0004,D401
503020_LIN Voltage, V,.0015,D401
504100_AI_P0 PCB Temperature, Dec,-143,D401
504100_AI_P0 PCB Temperature, Dec,-143,D401
504100_AI_P0 PCB Temperature, Dec,-143,D401
504100_AI_P0 PCB Temperature, Dec,-143,D401
504100_AI_P0 PCB Temperature, Dec,-143,D401
504100_AI_P0 PCB Temperature, Dec,-143,R408
504100_AI_P0 PCB Temperature, Dec,-143,R408
504100_AI_P0 PCB Temperature, Dec,-143,R408
504100_AI_P0 PCB Temperature, Dec,-143,R408
504100_AI_P0 PCB Temperature, Dec,-143,R408
51020 Pattern 2 ADC OCS Current On, Dec,0,IC200
51010 Pattern 2 ADC AI_OCS_OUT_FD , Dec,0,IC200
51010 Pattern 2 ADC AI_OCS_OUT_FD , Dec,0,IC200
51010 Pattern 2 ADC AI_OCS_OUT_FD , Dec,0,D201
51010 Pattern 2 ADC AI_OCS_OUT_FD , Dec,0,D201
506220_[A-01][C-03] LSD P1 HB Voltage Active, V,99900,T1010
506220_[A-01][C-03] LSD P1 HB Voltage Active, V,99900,T1010
506220_[A-01][C-03] LSD P1 HB Voltage Active, V,99900,T1010
51080 Pattern 3 ADC AI_RCM_OUT_FD , Dec,0,IC200
51080 Pattern 3 ADC AI_RCM_OUT_FD , Dec,0,IC200
53540 DTRL1 Patt2 Voltage, V,7.667,T1404
53540 DTRL1 Patt2 Voltage, V,7.669,T1404
53540 DTRL1 Patt2 Voltage, V,7.666,T1404
508010_BST CHK Phase 1 TI, Dec,35,T600
515030_CAL CH7 Current Meas If High, mA,.1457,T600
515050_CAL CH7 Current Meas If Low, mA,.1228,T600
515070_CAL CH7 Current k7, Gain,30616,T600
515080_CAL CH7 Current d7, Dec,-3661,T600
515100_CAL CH7 Voltage High FB, V,1.058,T600
515110_CAL CH7 Voltage Meas Vf High, V,.0903,T600
515130_CAL CH7 Voltage Low FB, V,1.411,T600
515140_CAL CH7 Voltage Meas Vf Low, V,.0903,T600
515160_CAL CH7 Voltage k7, Dec,-.000,T600
516030_CAL CH8 Current Meas If High, mA,.0685,T600
516050_CAL CH8 Current Meas If Low, mA,.0634,T600
516070_CAL CH8 Current k8, Gain,13750,T600
516080_CAL CH8 Current d8, Dec,-8619,T600
516100_CAL CH8 Voltage High FB, V,1.058,T600
516110_CAL CH8 Voltage Meas Vf High, V,.0919,T600
516130_CAL CH8 Voltage Low FB, V,1.058,T600
516140_CAL CH8 Voltage Meas Vf Low, V,.0920,T600
508010_BST CHK Phase 1 TI, Dec,36,T600
515030_CAL CH7 Current Meas If High, mA,.1574,T600
515050_CAL CH7 Current Meas If Low, mA,.2048,T600
515070_CAL CH7 Current k7, Gain,-1475,T600
515080_CAL CH7 Current d7, Dec,3122.,T600
515100_CAL CH7 Voltage High FB, V,.7057,T600
515110_CAL CH7 Voltage Meas Vf High, V,.0977,T600
515130_CAL CH7 Voltage Low FB, V,1.058,T600
515140_CAL CH7 Voltage Meas Vf Low, V,.0977,T600
515160_CAL CH7 Voltage k7, Dec,-.000,T600
516030_CAL CH8 Current Meas If High, mA,.3291,T600
516050_CAL CH8 Current Meas If Low, mA,.3315,T600
516070_CAL CH8 Current k8, Gain,-2963,T600
516080_CAL CH8 Current d8, Dec,98360,T600
516100_CAL CH8 Voltage High FB, V,1.058,T600
516110_CAL CH8 Voltage Meas Vf High, V,.0993,T600
516130_CAL CH8 Voltage Low FB, V,1.058,T600
516140_CAL CH8 Voltage Meas Vf Low, V,.0993,T600
508010_BST CHK Phase 1 TI, Dec,36,T600
515030_CAL CH7 Current Meas If High, mA,.2569,T600
515050_CAL CH7 Current Meas If Low, mA,.2128,T600
515070_CAL CH7 Current k7, Gain,15887,T600
515080_CAL CH7 Current d7, Dec,-3282,T600
515100_CAL CH7 Voltage High FB, V,1.058,T600
515110_CAL CH7 Voltage Meas Vf High, V,.0939,T600
515130_CAL CH7 Voltage Low FB, V,1.058,T600
515140_CAL CH7 Voltage Meas Vf Low, V,.0939,T600
508010_BST CHK Phase 1 TI, Dec,35,T600
515030_CAL CH7 Current Meas If High, mA,.2742,T600
515050_CAL CH7 Current Meas If Low, mA,.2265,T600
515070_CAL CH7 Current k7, Gain,14672,T600
515080_CAL CH7 Current d7, Dec,-3223,T600
515100_CAL CH7 Voltage High FB, V,.7057,T600
515110_CAL CH7 Voltage Meas Vf High, V,.0941,T600
515130_CAL CH7 Voltage Low FB, V,1.411,T600
515140_CAL CH7 Voltage Meas Vf Low, V,.0941,T600
515160_CAL CH7 Voltage k7, Dec,.0000,T600
516030_CAL CH8 Current Meas If High, mA,.1573,T600
516050_CAL CH8 Current Meas If Low, mA,.1233,T600
516070_CAL CH8 Current k8, Gain,20559,T600
516080_CAL CH8 Current d8, Dec,-2436,T600
516100_CAL CH8 Voltage High FB, V,.7057,T600
516110_CAL CH8 Voltage Meas Vf High, V,.0956,T600
516130_CAL CH8 Voltage Low FB, V,1.058,T600
516140_CAL CH8 Voltage Meas Vf Low, V,.0956,T600
516160_CAL CH8 Voltage k8, Gain,.0000,T600
508010_BST CHK Phase 1 TI, Dec,0,IC900
515030_CAL CH7 Current Meas If High, mA,.0038,IC900
515050_CAL CH7 Current Meas If Low, mA,.0258,IC900
515070_CAL CH7 Current k7, Gain,-3183,IC900
515080_CAL CH7 Current d7, Dec,922.1,IC900
515100_CAL CH7 Voltage High FB, V,0,IC900
515110_CAL CH7 Voltage Meas Vf High, V,.0026,IC900
515130_CAL CH7 Voltage Low FB, V,0,IC900
515140_CAL CH7 Voltage Meas Vf Low, V,.0026,IC900
508010_BST CHK Phase 1 TI, Dec,0,IC900
515030_CAL CH7 Current Meas If High, mA,.2633,IC900
515050_CAL CH7 Current Meas If Low, mA,.2189,IC900
515070_CAL CH7 Current k7, Gain,15757,IC900
515080_CAL CH7 Current d7, Dec,-3350,IC900
515100_CAL CH7 Voltage High FB, V,0,IC900
515110_CAL CH7 Voltage Meas Vf High, V,.0037,IC900
515130_CAL CH7 Voltage Low FB, V,0,IC900
515140_CAL CH7 Voltage Meas Vf Low, V,.0038,IC900
508010_BST CHK Phase 1 TI, Dec,0,IC900
515030_CAL CH7 Current Meas If High, mA,.0524,IC900
515050_CAL CH7 Current Meas If Low, mA,.0502,IC900
515070_CAL CH7 Current k7, Gain,32973,IC900
515080_CAL CH7 Current d7, Dec,-1647,IC900
515100_CAL CH7 Voltage High FB, V,0,IC900
515110_CAL CH7 Voltage Meas Vf High, V,.0027,IC900
515130_CAL CH7 Voltage Low FB, V,0,IC900
515140_CAL CH7 Voltage Meas Vf Low, V,.0026,IC900
507040_[A-01][C-11] HSD Voltage High, V,.0004,IC800
507050_[C-11] HSD Current High, mA,.4216,IC800
507080_HSD Read ADC Fan Sense, Dec,0,IC800
507040_[A-01][C-11] HSD Voltage High, V,.0007,IC800
507050_[C-11] HSD Current High, mA,.1088,IC800
507080_HSD Read ADC Fan Sense, Dec,0,IC800
52980 HB_Latch WL _V1 DIR1, V,0,D901
52980 HB_Latch WL _V1 DIR1, V,0,D901
52980 HB_Latch WL _V1 DIR1, V,0,D901
52980 HB_Latch WL _V1 DIR1, V,0,D901
52980 HB_Latch WL _V1 DIR1, V,0,D901
52980 HB_Latch WL _V1 DIR1, V,0,D901
52980 HB_Latch WL _V1 DIR1, V,0,D901
52980 HB_Latch WL _V1 DIR1, V,0,D901
52980 HB_Latch WL _V1 DIR1, V,0,D901
509010 BST CHK Phase 1, Dec,35,T900
521610 Leakage 8A ANODESBL2/3+SLB4/5, uA,2072.,T900
521620 Leakage 9A ANODE HB, uA,1373.,T900
509010 BST CHK Phase 1, Dec,36,T900
521610 Leakage 8A ANODESBL2/3+SLB4/5, uA,2069.,T900
521620 Leakage 9A ANODE HB, uA,1464.,T900
504010 AI P0 Read ADC NTC-LB, Dec,0,D300
504020 AI P0 Read ADC NTC-HB, Dec,0,D300
504030 AI P0 Read ADC NTC-DRL, Dec,0,D300
504040 AI P0 Read ADC NTC-TI, Dec,0,D300
504050 AI P0 Read ADC BINNING-LB, Dec,0,D300
504060 AI P0 Read ADC BINNING-DTRL, Dec,0,D300
504070 AI P0 Read ADC BINNING-TI, Dec,0,D300
504080 AI P1 Read ADC NTC-LB, Dec,0,D300
504090 AI P1 Read ADC NTC-HB, Dec,0,D300
504100 AI P1 Read ADC NTC-DRL, Dec,0,D300
504110 AI P1 Read ADC NTC-TI, Dec,0,D300
504120 AI P1 Read ADC BINNING-LB, Dec,0,D300
504130 AI P1 Read ADC BINNING-DRL, Dec,0,D300
504140 AI P1 Read ADC BINNING-TI, Dec,0,D300
504150 AI P1 Read ADC PCB TEMP Normal Temperature, Dec,0,D300
504160 AI P1 Read ADC TEMP REF, Dec,0,D300
504010 AI P0 Read ADC NTC-LB, Dec,0,D300
504020 AI P0 Read ADC NTC-HB, Dec,0,D300
504030 AI P0 Read ADC NTC-DRL, Dec,0,D300
504040 AI P0 Read ADC NTC-TI, Dec,0,D300
504050 AI P0 Read ADC BINNING-LB, Dec,0,D300
504060 AI P0 Read ADC BINNING-DTRL, Dec,0,D300
504070 AI P0 Read ADC BINNING-TI, Dec,0,D300
504080 AI P1 Read ADC NTC-LB, Dec,0,D300
504090 AI P1 Read ADC NTC-HB, Dec,0,D300
504100 AI P1 Read ADC NTC-DRL, Dec,0,D300
504110 AI P1 Read ADC NTC-TI, Dec,0,D300
