TestDescription,Value,Component
530050_CAL CH2 Voltage High FB,0,D1000
530080_CAL CH3 Voltage Meas Vf High,15.35,D1000
530140_CAL CH2 Voltage Low FB,0,D1000
530210_CAL CH1 Voltage k1,-.496,D1000
530220_CAL CH1 Voltage d1,6.812,D1000
530030_CAL CH1 Voltage High FB,0,D1000
530040_CAL CH1 Voltage Meas Vf High,6.807,D1000
530050_CAL CH2 Voltage High FB,0,D1000
530080_CAL CH3 Voltage Meas Vf High,15.35,D1000
530120_CAL CH1 Voltage Low FB,0,D1000
530140_CAL CH2 Voltage Low FB,0,D1000
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
502060_PCHK X400_5 POS,39.75,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
503030_ID Read SN,21474,Z300
502060_PCHK X400_5 POS,44.09,Z300
509010 BST CHK Phase 1,0,R210
509030 BST CHK Phase 2,0,R210
509050 BST CHK Phase 3,0,R210
530030 CAL CH1 Voltage High FB,0,R210
530040 CAL CH1 Voltage Meas Vf High,.0521,R210
530050 CAL CH2 Voltage High FB,0,R210
530060 CAL CH2 Voltage Meas Vf High,.0535,R210
530070 CAL CH3 Voltage High FB,0,R210
530080 CAL CH3 Voltage Meas Vf High,.0529,R210
530120 CAL CH1 Voltage Low FB,0,R210
530130 CAL CH1 Voltage Meas Vf Low,.0522,R210
530140 CAL CH2 Voltage Low FB,0,R210
530150 CAL CH2 Voltage Meas Vf Low,.0535,R210
530160 CAL CH3 Voltage Low FB,0,R210
530170 CAL CH3 Voltage Meas Vf Low,.0530,R210
509010 BST CHK Phase 1,0,R210
509030 BST CHK Phase 2,0,R210
509050 BST CHK Phase 3,0,R210
530030 CAL CH1 Voltage High FB,0,R210
530040 CAL CH1 Voltage Meas Vf High,.0518,R210
530050 CAL CH2 Voltage High FB,0,R210
530060 CAL CH2 Voltage Meas Vf High,.0531,R210
530070 CAL CH3 Voltage High FB,0,R210
530080 CAL CH3 Voltage Meas Vf High,.0527,R210
530120 CAL CH1 Voltage Low FB,0,R210
530130 CAL CH1 Voltage Meas Vf Low,.0520,R210
530140 CAL CH2 Voltage Low FB,0,R210
530150 CAL CH2 Voltage Meas Vf Low,.0532,R210
530160 CAL CH3 Voltage Low FB,0,R210
530170 CAL CH3 Voltage Meas Vf Low,.0527,R210
509010 BST CHK Phase 1,0,R210
509030 BST CHK Phase 2,0,R210
509050 BST CHK Phase 3,0,R210
530030 CAL CH1 Voltage High FB,0,R210
530040 CAL CH1 Voltage Meas Vf High,.0554,R210
530050 CAL CH2 Voltage High FB,0,R210
530060 CAL CH2 Voltage Meas Vf High,.0566,R210
530070 CAL CH3 Voltage High FB,0,R210
530080 CAL CH3 Voltage Meas Vf High,.0563,R210
530120 CAL CH1 Voltage Low FB,0,R210
530130 CAL CH1 Voltage Meas Vf Low,.0555,R210
530140 CAL CH2 Voltage Low FB,0,R210
530150 CAL CH2 Voltage Meas Vf Low,.0567,R210
530160 CAL CH3 Voltage Low FB,0,R210
530170 CAL CH3 Voltage Meas Vf Low,.0562,R210
506150_[A-01][C-02] LSD P0 LB Voltage Active,99900,T1006
506160_[C-02] LSD P0 LB Check Current,.0022,T1006
506150_[A-01][C-02] LSD P0 LB Voltage Active,99900,T1006
506160_[C-02] LSD P0 LB Check Current,.0023,T1006
506150_[A-01][C-02] LSD P0 LB Voltage Active,99900,T1006
506160_[C-02] LSD P0 LB Check Current,.0021,T1006
50120 IDENT Read Serial Number,0,L101
50120 IDENT Read Serial Number,0,L101
50120 IDENT Read Serial Number,0,L101
509010_BST CHK Phase 1,37,T400
509010_BST CHK Phase 1,36,T400
509010_BST CHK Phase 1,37,T400
53540 DTRL1 Patt2 Voltage,5.266,T1402
505114_OC Meas Voltage LINCOLN STAR CONTROL,.0040,T2201
505148_OC Read ADC LINCOLN STAR CONTROL,0,T2201
505114_OC Meas Voltage LINCOLN STAR CONTROL,.0026,T2201
505148_OC Read ADC LINCOLN STAR CONTROL,0,T2201
505114_OC Meas Voltage LINCOLN STAR CONTROL,.0035,T2201
505148_OC Read ADC LINCOLN STAR CONTROL,0,T2201
505114_OC Meas Voltage LINCOLN STAR CONTROL,.0049,T2201
505148_OC Read ADC LINCOLN STAR CONTROL,0,T2201
505114_OC Meas Voltage LINCOLN STAR CONTROL,.0044,T2201
505148_OC Read ADC LINCOLN STAR CONTROL,0,T2201
505112_OC Meas Voltage FRONT FOG CONTROL,.0079,R2404
505146_OC Read ADC FRONT FOG CONTROL,0,R2404
505230_OC PWM FRONT FOG CONTROL Meas Freq,0,R2404
505240_OC PWM FRONT FOG CONTROL Meas Duty Cycle,0,R2404
505250_OC PWM FRONT FOG CONTROL Meas Vrms,.0528,R2404
505112_OC Meas Voltage FRONT FOG CONTROL,.0077,R2404
505146_OC Read ADC FRONT FOG CONTROL,0,R2404
505230_OC PWM FRONT FOG CONTROL Meas Freq,0,R2404
505240_OC PWM FRONT FOG CONTROL Meas Duty Cycle,0,R2404
505250_OC PWM FRONT FOG CONTROL Meas Vrms,.1322,R2404
505112_OC Meas Voltage FRONT FOG CONTROL,.0041,R2404
505146_OC Read ADC FRONT FOG CONTROL,0,R2404
505230_OC PWM FRONT FOG CONTROL Meas Freq,0,R2404
505240_OC PWM FRONT FOG CONTROL Meas Duty Cycle,0,R2404
505250_OC PWM FRONT FOG CONTROL Meas Vrms,.1050,R2404
Cabezal de dispensado,0,D2200
Presion Material A,0,D2200
Presion Material B,0,D2200
505114_OC Meas Voltage LINCOLN STAR CONTROL,.0062,D2200
505148_OC Read ADC LINCOLN STAR CONTROL,0,D2200
505114_OC Meas Voltage LINCOLN STAR CONTROL,.0039,D2200
505148_OC Read ADC LINCOLN STAR CONTROL,0,D2200
506170_[A-01][C-03] LSD P0 HB Voltage Inactive,12.66,D2200
506200_[A-01][C-02] LSD P1 LB Voltage Inactive,12.66,D2200
51010 Pattern 2 ADC AI_OCS_OUT_FD ,0,D201
51010 Pattern 2 ADC AI_OCS_OUT_FD ,0,D201
51010 Pattern 2 ADC AI_OCS_OUT_FD ,0,D201
51010 Pattern 2 ADC AI_OCS_OUT_FD ,0,D201
51010 Pattern 2 ADC AI_OCS_OUT_FD ,0,D201
51010 Pattern 2 ADC AI_OCS_OUT_FD ,0,D201
51200 Pattern 5 RCM_OUT Voltage Lo,12.45,IC100
51200 Pattern 5 RCM_OUT Voltage Lo,12.51,IC100
51200 Pattern 5 RCM_OUT Voltage Lo,12.61,IC100
51200 Pattern 5 RCM_OUT Voltage Lo,12.87,IC100
51200 Pattern 5 RCM_OUT Voltage Lo,12.86,IC100
51200 Pattern 5 RCM_OUT Voltage Lo,12.87,IC100
51200 Pattern 5 RCM_OUT Voltage Lo,12.87,IC100
51080 Pattern 3 ADC AI_RCM_OUT_FD ,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD ,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD ,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD ,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD ,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD ,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD ,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD ,0,R209
51080 Pattern 3 ADC AI_RCM_OUT_FD ,0,R209
505010_FOG Measure I_Low,5.697,T603
505010_FOG Measure I_Low,8.967,T603
505010_FOG Measure I_Low,7.138,T603
503020_LIN Voltage,.0014,D401
503020_LIN Voltage,.0013,D401
503020_LIN Voltage,.0014,D401
503020_LIN Voltage,.0014,D401
503020_LIN Voltage,.0013,D401
503020_LIN Voltage,.0012,D401
503020_LIN Voltage,.0012,D401
503020_LIN Voltage,.0012,D401
503020_LIN Voltage,.0020,D401
503020_LIN Voltage,.0015,D401
503020_LIN Voltage,.0015,D401
503020_LIN Voltage,.0017,D401
503020_LIN Voltage,.0017,D401
503020_LIN Voltage,.0017,D401
503020_LIN Voltage,.0015,D401
503020_LIN Voltage,.0016,D401
503020_LIN Voltage,.0014,D401
503020_LIN Voltage,.0017,D401
503020_LIN Voltage,.0016,D401
503020_LIN Voltage,.0016,D401
503020_LIN Voltage,.0019,D401
503020_LIN Voltage,.0017,D401
503020_LIN Voltage,.0016,D401
503020_LIN Voltage,.0016,D401
504100_AI_P0 PCB Temperature,-143,R408
504100_AI_P0 PCB Temperature,-143,R408
505010_FOG Measure I_Low,2.630,R615
505010_FOG Measure I_Low,2.788,R615
505010_FOG Measure I_Low,2.830,R615
505010_FOG Measure I_Low,2.739,R615
505010_FOG Measure I_Low,5.870,R615
505010_FOG Measure I_Low,5.850,R615
505010_FOG Measure I_Low,5.904,R615
501010_PCHK Grounds,9.999,R615
505010_FOG Measure I_Low,9.055,R615
505010_FOG Measure I_Low,8.888,R615
505010_FOG Measure I_Low,7.254,R615
503020_LIN Voltage,.0018,D401
503020_LIN Voltage,.0017,D401
503020_LIN Voltage,.0017,D401
503020_LIN Voltage,.0021,D401
503020_LIN Voltage,.0153,D401
503020_LIN Voltage,.0015,D401
503020_LIN Voltage,.0015,D401
503020_LIN Voltage,.0016,D401
501010_PCHK Grounds,9.999,D401
503020_LIN Voltage,.0014,D401
501010_PCHK Grounds,9.999,D401
503020_LIN Voltage,.0011,D401
503020_LIN Voltage,.0033,D401
503020_LIN Voltage,.0017,D401
503020_LIN Voltage,.0017,D401
503020_LIN Voltage,.0018,D401
503020_LIN Voltage,.0018,D401
503020_LIN Voltage,.0018,D401
503020_LIN Voltage,.0017,D401
503020_LIN Voltage,.0018,D401
503020_LIN Voltage,.0018,D401
503020_LIN Voltage,.0018,D401
503020_LIN Voltage,.0004,D401
503020_LIN Voltage,.0015,D401
504100_AI_P0 PCB Temperature,-143,D401
504100_AI_P0 PCB Temperature,-143,D401
504100_AI_P0 PCB Temperature,-143,D401
504100_AI_P0 PCB Temperature,-143,D401
504100_AI_P0 PCB Temperature,-143,D401
504100_AI_P0 PCB Temperature,-143,R408
504100_AI_P0 PCB Temperature,-143,R408
504100_AI_P0 PCB Temperature,-143,R408
504100_AI_P0 PCB Temperature,-143,R408
504100_AI_P0 PCB Temperature,-143,R408
51020 Pattern 2 ADC OCS Current On,0,IC200
51010 Pattern 2 ADC AI_OCS_OUT_FD ,0,IC200
51010 Pattern 2 ADC AI_OCS_OUT_FD ,0,IC200
51010 Pattern 2 ADC AI_OCS_OUT_FD ,0,D201
51010 Pattern 2 ADC AI_OCS_OUT_FD ,0,D201
506220_[A-01][C-03] LSD P1 HB Voltage Active,99900,T1010
506220_[A-01][C-03] LSD P1 HB Voltage Active,99900,T1010
506220_[A-01][C-03] LSD P1 HB Voltage Active,99900,T1010
51080 Pattern 3 ADC AI_RCM_OUT_FD ,0,IC200
51080 Pattern 3 ADC AI_RCM_OUT_FD ,0,IC200
53540 DTRL1 Patt2 Voltage,7.667,T1404
53540 DTRL1 Patt2 Voltage,7.669,T1404
53540 DTRL1 Patt2 Voltage,7.666,T1404
508010_BST CHK Phase 1 TI,35,T600
515030_CAL CH7 Current Meas If High,.1457,T600
515050_CAL CH7 Current Meas If Low,.1228,T600
515070_CAL CH7 Current k7,30616,T600
515080_CAL CH7 Current d7,-3661,T600
515100_CAL CH7 Voltage High FB,1.058,T600
515110_CAL CH7 Voltage Meas Vf High,.0903,T600
515130_CAL CH7 Voltage Low FB,1.411,T600
515140_CAL CH7 Voltage Meas Vf Low,.0903,T600
515160_CAL CH7 Voltage k7,-.000,T600
516030_CAL CH8 Current Meas If High,.0685,T600
516050_CAL CH8 Current Meas If Low,.0634,T600
516070_CAL CH8 Current k8,13750,T600
516080_CAL CH8 Current d8,-8619,T600
516100_CAL CH8 Voltage High FB,1.058,T600
516110_CAL CH8 Voltage Meas Vf High,.0919,T600
516130_CAL CH8 Voltage Low FB,1.058,T600
516140_CAL CH8 Voltage Meas Vf Low,.0920,T600
508010_BST CHK Phase 1 TI,36,T600
515030_CAL CH7 Current Meas If High,.1574,T600
515050_CAL CH7 Current Meas If Low,.2048,T600
515070_CAL CH7 Current k7,-1475,T600
515080_CAL CH7 Current d7,3122.,T600
515100_CAL CH7 Voltage High FB,.7057,T600
515110_CAL CH7 Voltage Meas Vf High,.0977,T600
515130_CAL CH7 Voltage Low FB,1.058,T600
515140_CAL CH7 Voltage Meas Vf Low,.0977,T600
515160_CAL CH7 Voltage k7,-.000,T600
516030_CAL CH8 Current Meas If High,.3291,T600
516050_CAL CH8 Current Meas If Low,.3315,T600
516070_CAL CH8 Current k8,-2963,T600
516080_CAL CH8 Current d8,98360,T600
516100_CAL CH8 Voltage High FB,1.058,T600
516110_CAL CH8 Voltage Meas Vf High,.0993,T600
516130_CAL CH8 Voltage Low FB,1.058,T600
516140_CAL CH8 Voltage Meas Vf Low,.0993,T600
508010_BST CHK Phase 1 TI,36,T600
515030_CAL CH7 Current Meas If High,.2569,T600
515050_CAL CH7 Current Meas If Low,.2128,T600
515070_CAL CH7 Current k7,15887,T600
515080_CAL CH7 Current d7,-3282,T600
515100_CAL CH7 Voltage High FB,1.058,T600
515110_CAL CH7 Voltage Meas Vf High,.0939,T600
515130_CAL CH7 Voltage Low FB,1.058,T600
515140_CAL CH7 Voltage Meas Vf Low,.0939,T600
508010_BST CHK Phase 1 TI,35,T600
515030_CAL CH7 Current Meas If High,.2742,T600
515050_CAL CH7 Current Meas If Low,.2265,T600
515070_CAL CH7 Current k7,14672,T600
515080_CAL CH7 Current d7,-3223,T600
515100_CAL CH7 Voltage High FB,.7057,T600
515110_CAL CH7 Voltage Meas Vf High,.0941,T600
515130_CAL CH7 Voltage Low FB,1.411,T600
515140_CAL CH7 Voltage Meas Vf Low,.0941,T600
515160_CAL CH7 Voltage k7,.0000,T600
516030_CAL CH8 Current Meas If High,.1573,T600
516050_CAL CH8 Current Meas If Low,.1233,T600
516070_CAL CH8 Current k8,20559,T600
516080_CAL CH8 Current d8,-2436,T600
516100_CAL CH8 Voltage High FB,.7057,T600
516110_CAL CH8 Voltage Meas Vf High,.0956,T600
516130_CAL CH8 Voltage Low FB,1.058,T600
516140_CAL CH8 Voltage Meas Vf Low,.0956,T600
516160_CAL CH8 Voltage k8,.0000,T600
508010_BST CHK Phase 1 TI,0,IC900
515030_CAL CH7 Current Meas If High,.0038,IC900
515050_CAL CH7 Current Meas If Low,.0258,IC900
515070_CAL CH7 Current k7,-3183,IC900
515080_CAL CH7 Current d7,922.1,IC900
515100_CAL CH7 Voltage High FB,0,IC900
515110_CAL CH7 Voltage Meas Vf High,.0026,IC900
515130_CAL CH7 Voltage Low FB,0,IC900
515140_CAL CH7 Voltage Meas Vf Low,.0026,IC900
508010_BST CHK Phase 1 TI,0,IC900
515030_CAL CH7 Current Meas If High,.2633,IC900
515050_CAL CH7 Current Meas If Low,.2189,IC900
515070_CAL CH7 Current k7,15757,IC900
515080_CAL CH7 Current d7,-3350,IC900
515100_CAL CH7 Voltage High FB,0,IC900
515110_CAL CH7 Voltage Meas Vf High,.0037,IC900
515130_CAL CH7 Voltage Low FB,0,IC900
515140_CAL CH7 Voltage Meas Vf Low,.0038,IC900
508010_BST CHK Phase 1 TI,0,IC900
515030_CAL CH7 Current Meas If High,.0524,IC900
515050_CAL CH7 Current Meas If Low,.0502,IC900
515070_CAL CH7 Current k7,32973,IC900
515080_CAL CH7 Current d7,-1647,IC900
515100_CAL CH7 Voltage High FB,0,IC900
515110_CAL CH7 Voltage Meas Vf High,.0027,IC900
515130_CAL CH7 Voltage Low FB,0,IC900
515140_CAL CH7 Voltage Meas Vf Low,.0026,IC900
507040_[A-01][C-11] HSD Voltage High,.0004,IC800
507050_[C-11] HSD Current High,.4216,IC800
507080_HSD Read ADC Fan Sense,0,IC800
507040_[A-01][C-11] HSD Voltage High,.0007,IC800
507050_[C-11] HSD Current High,.1088,IC800
507080_HSD Read ADC Fan Sense,0,IC800
52980 HB_Latch WL _V1 DIR1,0,D901
52980 HB_Latch WL _V1 DIR1,0,D901
52980 HB_Latch WL _V1 DIR1,0,D901
52980 HB_Latch WL _V1 DIR1,0,D901
52980 HB_Latch WL _V1 DIR1,0,D901
52980 HB_Latch WL _V1 DIR1,0,D901
52980 HB_Latch WL _V1 DIR1,0,D901
52980 HB_Latch WL _V1 DIR1,0,D901
52980 HB_Latch WL _V1 DIR1,0,D901
509010 BST CHK Phase 1,35,T900
521610 Leakage 8A ANODESBL2/3+SLB4/5,2072.,T900
521620 Leakage 9A ANODE HB,1373.,T900
509010 BST CHK Phase 1,36,T900
521610 Leakage 8A ANODESBL2/3+SLB4/5,2069.,T900
521620 Leakage 9A ANODE HB,1464.,T900
504010 AI P0 Read ADC NTC-LB,0,D300
504020 AI P0 Read ADC NTC-HB,0,D300
504030 AI P0 Read ADC NTC-DRL,0,D300
504040 AI P0 Read ADC NTC-TI,0,D300
504050 AI P0 Read ADC BINNING-LB,0,D300
504060 AI P0 Read ADC BINNING-DTRL,0,D300
504070 AI P0 Read ADC BINNING-TI,0,D300
504080 AI P1 Read ADC NTC-LB,0,D300
504090 AI P1 Read ADC NTC-HB,0,D300
504100 AI P1 Read ADC NTC-DRL,0,D300
504110 AI P1 Read ADC NTC-TI,0,D300
504120 AI P1 Read ADC BINNING-LB,0,D300
504130 AI P1 Read ADC BINNING-DRL,0,D300
504140 AI P1 Read ADC BINNING-TI,0,D300
504150 AI P1 Read ADC PCB TEMP Normal Temperature,0,D300
504160 AI P1 Read ADC TEMP REF,0,D300
504010 AI P0 Read ADC NTC-LB,0,D300
504020 AI P0 Read ADC NTC-HB,0,D300
504030 AI P0 Read ADC NTC-DRL,0,D300
504040 AI P0 Read ADC NTC-TI,0,D300
504050 AI P0 Read ADC BINNING-LB,0,D300
504060 AI P0 Read ADC BINNING-DTRL,0,D300
504070 AI P0 Read ADC BINNING-TI,0,D300
504080 AI P1 Read ADC NTC-LB,0,D300
504090 AI P1 Read ADC NTC-HB,0,D300
504100 AI P1 Read ADC NTC-DRL,0,D300
504110 AI P1 Read ADC NTC-TI,0,D300
504120 AI P1 Read ADC BINNING-LB,0,D300
504130 AI P1 Read ADC BINNING-DRL,0,D300
504140 AI P1 Read ADC BINNING-TI,0,D300
504150 AI P1 Read ADC PCB TEMP Normal Temperature,0,D300
504160 AI P1 Read ADC TEMP REF,0,D300
504010 AI P0 Read ADC NTC-LB,0,D300
504020 AI P0 Read ADC NTC-HB,0,D300
504030 AI P0 Read ADC NTC-DRL,0,D300
504040 AI P0 Read ADC NTC-TI,0,D300
504050 AI P0 Read ADC BINNING-LB,0,D300
504060 AI P0 Read ADC BINNING-DTRL,0,D300
504070 AI P0 Read ADC BINNING-TI,0,D300
504080 AI P1 Read ADC NTC-LB,0,D300
504090 AI P1 Read ADC NTC-HB,0,D300
504100 AI P1 Read ADC NTC-DRL,0,D300
504110 AI P1 Read ADC NTC-TI,0,D300
504120 AI P1 Read ADC BINNING-LB,0,D300
504130 AI P1 Read ADC BINNING-DRL,0,D300
504140 AI P1 Read ADC BINNING-TI,0,D300
504150 AI P1 Read ADC PCB TEMP Normal Temperature,0,D300
504160 AI P1 Read ADC TEMP REF,0,D300
530030 CAL CH1 Voltage High FB,0,L1000
530040 CAL CH1 Voltage Meas Vf High,.5190,L1000
530120 CAL CH1 Voltage Low FB,0,L1000
530130 CAL CH1 Voltage Meas Vf Low,.5089,L1000
530030 CAL CH1 Voltage High FB,0,L1000
530040 CAL CH1 Voltage Meas Vf High,.5189,L1000
530120 CAL CH1 Voltage Low FB,0,L1000
530130 CAL CH1 Voltage Meas Vf Low,.5092,L1000
530030 CAL CH1 Voltage High FB,0,L1000
530040 CAL CH1 Voltage Meas Vf High,.5623,L1000
530120 CAL CH1 Voltage Low FB,0,L1000
530130 CAL CH1 Voltage Meas Vf Low,.4815,L1000
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0001,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0001,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0941,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,2155.,C427
517020_Leakage 9A ANODE CHANNEL 4,703.8,C427
517030_Leakage 20C ANODE CHANNEL 2,295.9,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0001,C427
501050_[A-01][A-07] LIN Voltage,.0959,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,1.747,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,2123.,C427
517020_Leakage 9A ANODE CHANNEL 4,656.5,C427
517030_Leakage 20C ANODE CHANNEL 2,247.7,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0015,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1673.,C427
517020_Leakage 9A ANODE CHANNEL 4,1602.,C427
517030_Leakage 20C ANODE CHANNEL 2,1541.,C427
517040_Leakage 22C ANODE CHANNEL 1,1485.,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0001,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0001,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0016,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1549.,C427
517020_Leakage 9A ANODE CHANNEL 4,1486.,C427
517030_Leakage 20C ANODE CHANNEL 2,1429.,C427
517040_Leakage 22C ANODE CHANNEL 1,1376.,C427
500230_[A-01][A-21]PCHK 21A POWER SUPPLY CHANNEL 3,26.02,C437
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C437
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C437
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C437
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C437
501050_[A-01][A-07] LIN Voltage,.0280,C437
501060_Read SW Version,21474,C437
517010_Leakage 8A ANODESBL2/3+SLB4/5,1637.,C437
517020_Leakage 9A ANODE CHANNEL 4,1567.,C437
517030_Leakage 20C ANODE CHANNEL 2,1504.,C437
517040_Leakage 22C ANODE CHANNEL 1,1446.,C437
500230_[A-01][A-21]PCHK 21A POWER SUPPLY CHANNEL 3,20.99,C437
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C437
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C437
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C437
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C437
501050_[A-01][A-07] LIN Voltage,.0130,C437
501060_Read SW Version,21474,C437
517010_Leakage 8A ANODESBL2/3+SLB4/5,1579.,C437
517020_Leakage 9A ANODE CHANNEL 4,1513.,C437
517030_Leakage 20C ANODE CHANNEL 2,1453.,C437
517040_Leakage 22C ANODE CHANNEL 1,1399.,C437
500230_[A-01][A-21]PCHK 21A POWER SUPPLY CHANNEL 3,44.64,C437
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C437
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C437
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C437
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C437
501050_[A-01][A-07] LIN Voltage,.0050,C437
501060_Read SW Version,21474,C437
517010_Leakage 8A ANODESBL2/3+SLB4/5,1594.,C437
517020_Leakage 9A ANODE CHANNEL 4,1528.,C437
517030_Leakage 20C ANODE CHANNEL 2,1471.,C437
517040_Leakage 22C ANODE CHANNEL 1,1424.,C437
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0091,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1681.,C427
517020_Leakage 9A ANODE CHANNEL 4,1608.,C427
517030_Leakage 20C ANODE CHANNEL 2,1547.,C427
517040_Leakage 22C ANODE CHANNEL 1,1492.,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0122,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,1621.,C427
517020_Leakage 9A ANODE CHANNEL 4,1552.,C427
517030_Leakage 20C ANODE CHANNEL 2,1488.,C427
517040_Leakage 22C ANODE CHANNEL 1,1430.,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0001,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0001,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0941,C427
501060_Read SW Version,21474,C427
517010_Leakage 8A ANODESBL2/3+SLB4/5,2155.,C427
